,sensor,agg,axis,feature_name,fi_all,fi_dynamic,fi_standing,fi_sitting,fi_laying,fi_walking,fi_walking_up,fi_walking_down
0,tBodyAcc,mean(),X,tBodyAcc-mean()-X,0.00032316529762133723,0.0,0.0001705922249715072,0.0003819927725629146,0.00017946578004452725,0.00021750469741833634,0.00023608340339618158,0.00023608340339618158
1,tBodyAcc,mean(),Y,tBodyAcc-mean()-Y,0.00040108019513246363,9.864230230558202e-06,0.0006723630348975815,0.00041307158156051274,6.972650225539103e-05,0.00014643376256902703,0.00032057663955628227,0.00032057663955628227
2,tBodyAcc,mean(),Z,tBodyAcc-mean()-Z,0.0001984826342371466,0.0,0.0006130925061824831,0.00045181158199823193,0.0001935516324745666,0.00015270510027866414,0.00016725222028785797,0.00016725222028785797
3,tBodyAcc,std(),X,tBodyAcc-std()-X,0.003803066677201779,1.9643777561422328e-05,0.002957650595595526,0.0005052276067982464,0.00112863355155656,0.005698946447497209,0.003607360032909566,0.003607360032909566
4,tBodyAcc,std(),Y,tBodyAcc-std()-Y,0.0004598958468600831,5.1492411963650673e-05,0.0044292874517267425,0.00035876374079385644,9.13989529403688e-05,0.0003383557855799942,0.00019343578281855265,0.00019343578281855265
5,tBodyAcc,std(),Z,tBodyAcc-std()-Z,0.0003727638737788544,0.0,0.00010816911728568275,0.001534513170506096,0.00017016867078525417,0.0001312124920612509,0.0026992325537714525,0.0026992325537714525
6,tBodyAcc,mad(),X,tBodyAcc-mad()-X,0.007581707471419891,9.826033125507612e-06,0.004981815482779706,0.0014315915044229935,0.0018736804088074128,0.004208523479453137,0.007216565380966608,0.007216565380966608
7,tBodyAcc,mad(),Y,tBodyAcc-mad()-Y,0.0005806184066566671,0.0,0.000626685907638027,0.00032722045515314865,0.0003868874279199291,0.00021914592437552506,0.00044877638253790143,0.00044877638253790143
8,tBodyAcc,mad(),Z,tBodyAcc-mad()-Z,0.00028951950570256876,0.0,0.0004611741768503178,0.0005101882671478009,0.0,0.0003760790842071052,0.0028380763650714975,0.0028380763650714975
9,tBodyAcc,max(),X,tBodyAcc-max()-X,0.009512458412204251,5.9059825996435724e-05,0.00038588147504928027,0.0012748493442069839,0.0020403905744505375,0.0047542516268016905,0.009674857987652186,0.009674857987652186
10,tBodyAcc,max(),Y,tBodyAcc-max()-Y,0.00018466613768994088,5.013096928716755e-05,0.0002011388388857679,0.0005315309871407689,0.0020857849113850523,0.00014127839753244904,0.0002932376215977573,0.0002932376215977573
11,tBodyAcc,max(),Z,tBodyAcc-max()-Z,0.00023426444692838312,0.0,0.00027356601471733975,0.0011236812017836615,0.00011561941171437272,6.96969655750621e-05,0.00018080539830580736,0.00018080539830580736
12,tBodyAcc,min(),X,tBodyAcc-min()-X,0.00040028009361256777,0.0,0.00264198812281114,0.00031843814889260055,0.0,0.0018008691136091701,0.0002557783493532422,0.0002557783493532422
13,tBodyAcc,min(),Y,tBodyAcc-min()-Y,0.00020985901441933298,0.0,0.0026168421317659296,0.00035435550567152244,4.303888390984879e-05,7.683420194748188e-05,0.0001720968376859365,0.0001720968376859365
14,tBodyAcc,min(),Z,tBodyAcc-min()-Z,0.00034063452437486946,0.0,0.00044382789924290544,0.0002467067559870888,5.7425475191563155e-06,0.00019954053126721986,0.000434509594274533,0.000434509594274533
15,tBodyAcc,sma(),,tBodyAcc-sma(),0.0003108989167217355,0.0,0.00010645113784382498,0.0003055914374687855,7.524082405960231e-05,0.0035539867123485494,0.0013641118511316674,0.0013641118511316674
16,tBodyAcc,energy(),X,tBodyAcc-energy()-X,0.004929190124990343,9.87154046396248e-06,0.003404022104533902,0.006167925653953279,0.0012647983018112773,0.007804871986384858,0.006762497942185285,0.006762497942185285
17,tBodyAcc,energy(),Y,tBodyAcc-energy()-Y,0.0005491539534127067,9.793150119861125e-06,0.0008125643186939025,0.0002483284892850731,0.000576575215394674,0.00025967807734859444,0.0005332736103286074,0.0005332736103286074
18,tBodyAcc,energy(),Z,tBodyAcc-energy()-Z,0.0003577275605023422,0.0,0.0003164685247173058,0.00031536339529044576,0.0010575683794819691,0.00016184810455797068,0.0009672770792506214,0.0009672770792506214
